          dates,Median: Non-structural shadow-rate VAR (ex Yields),5%: Non-structural shadow-rate VAR (ex Yields),95%: Non-structural shadow-rate VAR (ex Yields),Median: General shadow-rate VAR (ex Yields),5%: General shadow-rate VAR (ex Yields),95%: General shadow-rate VAR (ex Yields),Median: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),5%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),95%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields)
        2006-01,        4.2900000000000000e+00,        4.2900000000000000e+00,        4.2900000000000000e+00,        4.2900000000000000e+00,        4.2900000000000000e+00,        4.2900000000000000e+00,        4.2900000000000000e+00,        4.2900000000000000e+00,        4.2900000000000000e+00
        2006-02,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00
        2006-03,        4.5899999999999999e+00,        4.5899999999999999e+00,        4.5899999999999999e+00,        4.5899999999999999e+00,        4.5899999999999999e+00,        4.5899999999999999e+00,        4.5899999999999999e+00,        4.5899999999999999e+00,        4.5899999999999999e+00
        2006-04,        4.7900000000000000e+00,        4.7900000000000000e+00,        4.7900000000000000e+00,        4.7900000000000000e+00,        4.7900000000000000e+00,        4.7900000000000000e+00,        4.7900000000000000e+00,        4.7900000000000000e+00,        4.7900000000000000e+00
        2006-05,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00
        2006-06,        4.9900000000000002e+00,        4.9900000000000002e+00,        4.9900000000000002e+00,        4.9900000000000002e+00,        4.9900000000000002e+00,        4.9900000000000002e+00,        4.9900000000000002e+00,        4.9900000000000002e+00,        4.9900000000000002e+00
        2006-07,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00
        2006-08,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00
        2006-09,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00
        2006-10,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00
        2006-11,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00
        2006-12,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00,        5.2400000000000002e+00
        2007-01,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00
        2007-02,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00
        2007-03,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00
        2007-04,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00
        2007-05,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00
        2007-06,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00,        5.2500000000000000e+00
        2007-07,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00,        5.2599999999999998e+00
        2007-08,        5.0199999999999996e+00,        5.0199999999999996e+00,        5.0199999999999996e+00,        5.0199999999999996e+00,        5.0199999999999996e+00,        5.0199999999999996e+00,        5.0199999999999996e+00,        5.0199999999999996e+00,        5.0199999999999996e+00
        2007-09,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00,        4.9400000000000004e+00
        2007-10,        4.7599999999999998e+00,        4.7599999999999998e+00,        4.7599999999999998e+00,        4.7599999999999998e+00,        4.7599999999999998e+00,        4.7599999999999998e+00,        4.7599999999999998e+00,        4.7599999999999998e+00,        4.7599999999999998e+00
        2007-11,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00,        4.4900000000000002e+00
        2007-12,        4.2400000000000002e+00,        4.2400000000000002e+00,        4.2400000000000002e+00,        4.2400000000000002e+00,        4.2400000000000002e+00,        4.2400000000000002e+00,        4.2400000000000002e+00,        4.2400000000000002e+00,        4.2400000000000002e+00
        2008-01,        3.9399999999999999e+00,        3.9399999999999999e+00,        3.9399999999999999e+00,        3.9399999999999999e+00,        3.9399999999999999e+00,        3.9399999999999999e+00,        3.9399999999999999e+00,        3.9399999999999999e+00,        3.9399999999999999e+00
        2008-02,        2.9800000000000000e+00,        2.9800000000000000e+00,        2.9800000000000000e+00,        2.9800000000000000e+00,        2.9800000000000000e+00,        2.9800000000000000e+00,        2.9800000000000000e+00,        2.9800000000000000e+00,        2.9800000000000000e+00
        2008-03,        2.6099999999999999e+00,        2.6099999999999999e+00,        2.6099999999999999e+00,        2.6099999999999999e+00,        2.6099999999999999e+00,        2.6099999999999999e+00,        2.6099999999999999e+00,        2.6099999999999999e+00,        2.6099999999999999e+00
        2008-04,        2.2799999999999998e+00,        2.2799999999999998e+00,        2.2799999999999998e+00,        2.2799999999999998e+00,        2.2799999999999998e+00,        2.2799999999999998e+00,        2.2799999999999998e+00,        2.2799999999999998e+00,        2.2799999999999998e+00
