dates,WUXIASHADOWRATE
715511,2.82
715542,2.7
715570,2.8
715601,2.95
715631,2.84
715662,3.21
715692,3.2
715723,3.38
715754,4.04
715784,4.05
715815,4.15
715845,4.49
715876,4.35
715907,3.96
715936,3.31
715967,3.23
715997,3.29
716028,2.46
716058,2.3
716089,2.3
716120,2.48
716150,2.3
716181,2.37
716211,2.25
716242,2.24
716273,2.42
716301,2.39
716332,2.29
716362,2.29
716393,2.33
716423,2.24
716454,2.39
716485,2.28
716515,2.3
716546,2.48
716576,2.6
716607,2.72
716638,2.73
716666,2.72
716697,2.73
716727,2.69
716758,2.73
716788,2.92
716819,2.82
716850,2.78
716880,2.74
716911,2.83
716941,2.87
716972,2.91
717003,2.92
717031,2.89
717062,2.9
717092,2.93
717123,2.99
717153,3.18
717184,3.32
717215,3.38
717245,3.45
717276,3.52
717306,3.52
717337,3.52
717368,3.53
717397,3.54
717428,3.47
717458,3.48
717489,3.48
717519,3.46
717550,3.5
717581,3.53
717611,3.57
717642,3.64
717672,3.84
717703,3.81
717734,3.93
717762,3.93
717793,3.93
717823,3.89
717854,3.8
717884,3.84
717915,3.84
717946,3.92
717976,4.03
718007,4.09
718037,4.38
718068,4.59
718099,4.65
718127,4.59
718158,4.62
718188,4.64
718219,4.5
718249,4.8
718280,4.96
718311,5.37
718341,5.35
718372,5.32
718402,4.96
718433,4.72
718464,4.56
718492,4.26
718523,3.84
718553,3.6
718584,3.54
718614,4.21
718645,4.27
718676,4.42
718706,4.56
718737,4.73
718767,4.97
718798,5
718829,4.98
718858,5.17
718889,5.38
718919,5.66
718950,5.52
718980,5.31
719011,5.09
719042,5.19
719072,5.35
719103,5.45
719133,5.96
719164,6.14
719195,6.12
719223,6.02
719254,6.11
719284,6.04
719315,6.44
719345,7
719376,6.98
719407,7.09
719437,7
719468,7.24
719498,7.82
719529,7.87
719560,7.13
719588,6.63
719619,6.51
719649,6.84
719680,6.68
719710,6.45
719741,6.41
719772,6.12
719802,5.91
719833,5.28
719863,4.87
719894,4.44
719925,3.7
719953,3.38
719984,3.86
720014,4.14
720045,4.75
720075,5.4
720106,4.94
720137,4.69
720167,4.46
720198,4.22
720228,4.01
720259,3.38
720290,3.2
720319,3.73
720350,3.71
720380,3.69
720411,3.91
720441,3.98
720472,4.02
720503,4.66
720533,4.74
720564,4.78
720594,5.07
720625,5.41
720656,5.6
720684,6.09
720715,6.26
720745,6.36
720776,7.19
720806,8.01
720837,8.67
720868,8.29
720898,7.22
720929,7.83
720959,7.45
720990,7.77
721021,7.12
721049,7.96
721080,8.33
721110,8.23
721141,7.9
721171,7.55
721202,8.96
721233,8.06
721263,7.46
721294,7.47
721324,7.15
721355,6.26
721386,5.5
721414,5.49
721445,5.61
721475,5.23
721506,5.34
721536,6.13
721567,6.44
721598,6.42
721628,5.96
721659,5.48
721689,5.44
721720,4.87
721751,4.88
721780,5
721811,4.86
721841,5.2
721872,5.41
721902,5.23
721933,5.14
721964,5.08
721994,4.92
722025,4.75
722055,4.35
722086,4.62
722117,4.67
722145,4.6
722176,4.54
722206,4.96
722237,5.02
722267,5.19
722298,5.49
722329,5.81
722359,6.16
722390,6.1
722420,6.07
722451,6.44
722482,6.45
722510,6.29
722541,6.29
722571,6.41
722602,6.73
722632,7.01
722663,7.08
722694,7.85
722724,7.99
722755,8.64
722785,9.08
722816,9.35
722847,9.32
722875,9.48
722906,9.46
722936,9.61
722967,9.06
722997,9.24
723028,9.52
723059,10.26
723089,11.7
723120,11.79
723150,12.04
723181,12
723212,12.86
723241,15.2
723272,13.2
723302,8.58
723333,7.07
723363,8.06
723394,9.13
723425,10.27
723455,11.62
723486,13.73
723516,15.49
723547,15.02
723578,14.79
723606,13.36
723637,13.69
723667,16.3
723698,14.73
723728,14.95
723759,15.51
723790,14.7
723820,13.54
723851,10.86
723881,10.85
723912,12.28
723943,13.48
723971,12.68
724002,12.7
724032,12.09
724063,12.47
724093,11.35
724124,8.68
724155,7.92
724185,7.71
724216,8.07
724246,7.94
724277,7.86
724308,8.11
724336,8.35
724367,8.21
724397,8.19
724428,8.79
724458,9.08
724489,9.34
724520,9
724550,8.64
724581,8.76
724611,9
724642,8.9
724673,9.09
724702,9.52
724733,9.69
724763,9.83
724794,9.87
724824,10.12
724855,10.47
724886,10.37
724916,9.74
724947,8.61
724977,8.06
725008,7.76
725039,8.27
725067,8.52
725098,7.95
725128,7.48
725159,6.95
725189,7.08
725220,7.14
725251,7.1
725281,7.16
725312,7.24
725342,7.1
725373,7.07
725404,7.06
725432,6.56
725463,6.06
725493,6.15
725524,6.21
725554,5.83
725585,5.53
725616,5.21
725646,5.18
725677,5.35
725707,5.53
725738,5.43
725769,5.59
725797,5.59
725828,5.64
725858,5.66
725889,5.67
725919,5.69
725950,6.04
725981,6.4
726011,6.13
726042,5.69
726072,5.77
726103,5.81
726134,5.66
726163,5.7
726194,5.91
726224,6.26
726255,6.46
726285,6.73
726316,7.06
726347,7.24
726377,7.35
