DATE,DSERRA3M086SBEA
1959-01-01,16.528
1959-02-01,16.656
1959-03-01,16.695
1959-04-01,16.752
1959-05-01,16.877
1959-06-01,16.997
1959-07-01,17.023
1959-08-01,17.091
1959-09-01,17.196
1959-10-01,17.234
1959-11-01,17.297
1959-12-01,17.4
1960-01-01,17.427
1960-02-01,17.451
1960-03-01,17.521
1960-04-01,17.64
1960-05-01,17.681
1960-06-01,17.658
1960-07-01,17.637
1960-08-01,17.618
1960-09-01,17.661
1960-10-01,17.752
1960-11-01,17.834
1960-12-01,17.84
1961-01-01,17.934
1961-02-01,17.936
1961-03-01,18.083
1961-04-01,18.174
1961-05-01,18.277
1961-06-01,18.289
1961-07-01,18.255
1961-08-01,18.279
1961-09-01,18.373
1961-10-01,18.52
1961-11-01,18.639
1961-12-01,18.724
1962-01-01,18.745
1962-02-01,18.792
1962-03-01,18.871
1962-04-01,19.007
1962-05-01,19.113
1962-06-01,19.131
1962-07-01,19.175
1962-08-01,19.23
1962-09-01,19.334
1962-10-01,19.399
1962-11-01,19.521
1962-12-01,19.544
1963-01-01,19.521
1963-02-01,19.562
1963-03-01,19.643
1963-04-01,19.738
1963-05-01,19.737
1963-06-01,19.878
1963-07-01,20.012
1963-08-01,20.152
1963-09-01,20.221
1963-10-01,20.31
1963-11-01,20.381
1963-12-01,20.519
1964-01-01,20.631
1964-02-01,20.707
1964-03-01,20.843
1964-04-01,20.909
1964-05-01,21.004
1964-06-01,21.146
1964-07-01,21.214
1964-08-01,21.275
1964-09-01,21.406
1964-10-01,21.482
1964-11-01,21.598
1964-12-01,21.698
1965-01-01,21.775
1965-02-01,21.84
1965-03-01,21.906
1965-04-01,22.065
1965-05-01,22.173
1965-06-01,22.272
1965-07-01,22.384
1965-08-01,22.467
1965-09-01,22.57
1965-10-01,22.73
1965-11-01,22.867
1965-12-01,22.967
1966-01-01,23.001
1966-02-01,23.073
1966-03-01,23.201
1966-04-01,23.277
1966-05-01,23.35
1966-06-01,23.402
1966-07-01,23.508
1966-08-01,23.505
1966-09-01,23.59
1966-10-01,23.639
1966-11-01,23.795
1966-12-01,23.941
1967-01-01,24.003
1967-02-01,23.958
1967-03-01,24.066
1967-04-01,24.15
1967-05-01,24.23
1967-06-01,24.348
1967-07-01,24.48
1967-08-01,24.598
1967-09-01,24.644
1967-10-01,24.682
1967-11-01,24.76
1967-12-01,24.895
1968-01-01,25.095
1968-02-01,25.1
1968-03-01,25.318
1968-04-01,25.442
1968-05-01,25.503
1968-06-01,25.741
1968-07-01,25.796
1968-08-01,25.879
1968-09-01,25.988
1968-10-01,26.072
1968-11-01,26.187
