dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PPICMM,PCEPI,FEDFUNDS,HOUST,SP500,EXUSUKx,TB6MS,GS1,GS5,GS10,BAA
NaN,5,5,5,1,1,5,1,5,5,5,5,1,4,5,5,1,1,1,1,1
NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715570,7.71613343870321,11.292107620368,17.1630395625494,82.4769,5.6,7.40196477574955,40,5.59441572697352,0,14.679082122761,0.821789915385551,2.8,7.39018142822643,30.0745931063098,1.45144094536134,3.13,3.61,3.99,3.99,4.85
715601,7.79294495546416,-4.36736336495329,25.2928907688943,83.9922,5.2,6.92906425141615,40.2,5.56845546780278,0,-7.31709584174158,2.38746659205784,2.96,7.37148929521428,19.9192283332913,1.62012388710853,3.27,3.72,4.12,4.12,4.86
715631,6.91573481000525,14.406424798538,17.9402874049162,84.9159,5.1,5.14265648453431,40.3,5.54273502755329,3.60902527674583,7.31709584174158,0.670620030493474,2.9,7.31188616407716,17.93880094862,-0.852424116824846,3.33,3.96,4.35,4.31,4.96
715662,3.72292314263021,4.44994329470312,1.37326166708807,84.7686,5,2.93198940986912,40.2,0,-3.60902527674583,3.64188443418509,3.42177271276007,3.39,7.31521838975297,-10.3968766816056,-0.853030069686866,3.52,4.07,4.5,4.34,5.04
715692,-0.707051775908596,-4.11224806241943,-29.0855605870407,82.9798,5.1,2.74643093322311,39.9,0,-3.61991224731089,-10.9589802759267,2.52287997948848,3.47,7.34407285057307,46.695311084185,-0.341381887725944,3.82,4.39,4.58,4.4,5.08
715723,-6.76387321558778,7.20399391966993,-41.3583781496854,79.4676,5.2,-10.4835462366914,40,0,-3.63086509984463,-11.0599861259093,1.70365140803188,3.5,7.26542972325395,-6.8491037032377,-0.939301264781278,3.87,4.42,4.57,4.43,5.09
715754,0.865629733564433,12.0221409609503,-1.45096300704974,79.0489,5.5,2.06811335891928,40,0,14.4580062194091,18.3770819676509,3.1786139877676,3.76,7.33953769540767,-48.4393800726178,-2.47986976305263,4.7,5,4.9,4.68,5.18
715784,1.53607474208393,-8.20208244466514,-8.74823138324938,78.1537,5.7,-1.57324016315954,39.6,0,-10.8271411195645,10.8926617813406,2.87566575909803,3.98,7.2115567333138,-1.05217016824106,1.11229954487859,4.53,4.8,4.72,4.53,5.28
715815,9.11381685371175,-0.53541551362315,7.29012812779963,78.5051,5.8,6.19113082585514,39.6,0,-3.63086509984463,25.0381661567536,0.736241510302449,4,7.25559127425367,4.83236230375255,-1.54038174119941,4.54,4.81,4.75,4.53,5.26
715845,12.2335906241243,-1.33958486784707,71.9797433321375,83.5682,5.3,12.0214718635509,40,16.4762313742826,0,-7.10061243370603,1.3976156298348,3.99,7.37838371299671,37.7707678737192,-1.84249558612475,4.85,5.14,5.01,4.69,5.28
715876,3.83291063480335,3.34616244926611,31.100247643492,85.5616,5.2,2.21304282256654,40.1,10.8598026239015,3.63086509984463,17.6733680522924,-0.661825552211326,3.99,7.28619171470238,-21.1125097359119,0.600192931664445,4.74,5.03,4.92,4.72,5.34
715907,1.37104223879625,5.2014529896347,-10.7243488479952,84.6108,4.8,5.27269731539306,39.7,5.39326750540705,0,3.5036521240011,1.24980865946132,3.97,7.31521838975297,-47.453683203809,1.49917029725373,4.3,4.66,4.69,4.49,5.34
715936,2.2905155874227,16.8491053736689,-10.8210568210056,83.2421,5.4,-1.29947611513117,39.5,5.36913647390551,10.8271411195645,-3.5036521240011,0.661136804700568,3.84,7.01121398735037,-16.4623520434972,1.11245818421466,3.61,4.02,4.31,4.25,5.25
715967,4.10249118426869,18.4263407222835,-9.55484197449117,82.2593,5.2,7.88530023026155,39.8,-5.36913647390551,0,-3.51391173490647,4.39829447795539,3.92,7.16162200293919,15.3862153020203,1.53862613236537,3.55,4.04,4.29,4.28,5.2
715997,2.88064555593266,-24.412046667811,-1.36975891898796,81.4711,5.1,-7.42261352034532,39.6,5.36913647390551,0,0,1.24325817867419,3.85,7.14755927118945,-11.0320740953238,-1.49585986781595,3.58,4.21,4.49,4.35,5.28
716028,0.946243130386293,-0.263794241555182,-15.1817346953615,80.2236,5.4,-2.80087976232934,39.5,0,0,3.51391173490647,0.51155568510115,3.32,7.12849594568004,43.5325118015527,-1.4120920915575,2.74,3.36,4.12,4.15,5.26
716058,2.19476114526387,2.43788690574949,-4.17121256295125,79.7275,5.5,-0.927715546785635,39.6,5.34522041925616,3.58744661803954,0,2.11698202545669,3.23,7.08757370555797,-30.1342094590229,2.43802546838232,2.71,3.2,3.79,3.9,5.22
716089,-1.95272115304768,-1.18538040590508,-1.39879707260349,79.0505,5.6,-0.751533484380928,39.4,5.32151648143877,-3.58744661803954,0,2.04044501703606,2.98,7.20340552108309,14.3125862251622,0.768874834975364,2.59,2.95,3.62,3.8,5.08
716120,1.52759583926887,5.71852203716219,-12.6213390583576,77.9187,5.5,-0.995400936345447,39.1,0,0,0,0.727890353508087,2.6,7.00033446027523,-36.653945500472,1.06706510792618,2.83,3.07,3.61,3.8,5.01
716150,3.5416774724748,5.82191989360865,-1.4100200069544,77.5287,6.1,-1.88245754629719,39.4,5.29802185094033,10.7303248507939,3.5036521240011,1.3817764624843,2.47,7.1276936993474,-23.8813851807544,-0.469391752513371,2.73,3.04,3.76,3.89,5.11
716181,-5.08839222888327,-4.18369438320116,-17.0613500771102,75.7724,6.1,-4.01839362394938,39,-5.29802185094033,0,-31.9073450270874,3.99093338378709,2.44,7.1276936993474,38.2449951916955,0.853303029626851,2.66,3.08,3.81,3.93,5.08
716211,-5.55691033823962,-14.8251714011218,-23.134291074429,74.2557,6.6,-4.8800936313981,38,0,-3.5661244669889,-14.4580062194091,0.28973260236107,1.98,6.96885037834195,28.4327899919553,-2.64721687145668,2.5,2.86,3.67,3.84,5.1
716242,10.7785623574912,2.9797228719044,1.45802132067558,74.1095,6.6,-1.31812905969184,39.2,5.29802185094033,0,-25.7283974854431,0.144840072596431,1.45,7.07580886397839,60.1567763326603,-0.427517906833952,2.47,2.81,3.67,3.84,5.1
716273,4.58032979973382,4.42281216900238,-1.45802132067558,73.512,6.9,-2.81984463960967,39.2,5.27473376764549,3.5661244669889,0,1.15809165149798,2.54,7.11151211649616,48.2467147323078,-2.78258512566376,2.6,2.93,3.66,3.78,5.07
716301,4.87711731236367,14.7996418846402,7.27782639711752,73.8637,6.9,2.28324199609773,39.1,0,-3.5661244669889,3.70943108360713,-0.651289025485013,2.02,7.17930796950403,37.0605113521279,-1.02904926447644,2.54,2.88,3.6,3.74,5.02
716332,2.60352699364645,0.585603915647326,24.4174613007333,75.3829,7,-0.715843654134574,39.1,5.25164951975881,-7.16420038380505,3.69799984488992,-0.724069291261742,1.49,7.06133436691044,31.58320048612,0.257345057816405,2.47,2.88,3.57,3.78,5.01
716362,9.29755913156427,7.26370914807042,18.3410596149145,76.356,7.1,3.55264519862715,39.3,5.22876644274688,-3.59820359550778,25.5717439041016,0.651682019335276,1.98,7.11314210870709,12.1515434184271,-1.7596255008244,2.45,2.87,3.47,3.71,5.01
716393,11.2457313213344,2.90611771881988,16.685735099616,77.3241,6.9,4.25378358074084,39.6,5.20608191831786,0,7.2072288722536,0.578975947543903,1.73,7.23128700432762,-15.9857041546235,-1.80522259052651,2.54,3.06,3.81,3.88,5.03
