dates,EXCESSBONDPREMIUM,UNRATE,PCEPI,FEDFUNDS
NaN,1,1,5,1
NaN,0,0,0,0
720625,0.0220660175500595,4.9,3.61311991593194,5.94
720656,-0.00937314175017745,5,6.30990307261179,6.58
720684,-0.10278908417342,4.9,8.44800172128384,7.09
720715,-0.16019602243442,5,8.9016980889923,7.12
720745,-0.061268411257466,4.9,5.8809859669509,7.84
720776,0.044557393282012,4.9,6.86718984798116,8.49
720806,-0.326373188177336,4.8,4.3542514337096,10.4
720837,-0.181771926972511,4.8,13.7184551359871,10.5
720868,-0.349992411432765,4.8,4.78704146153053,10.78
720898,0.151261936382499,4.6,6.74911832429874,10.01
720929,0.0755097495301817,4.8,9.80764027715146,10.03
720959,0.0232360254013593,4.9,9.82550247644287,9.95
720990,-0.023526579416139,5.1,11.4346567152465,9.65
721021,0.167358558527408,5.2,13.9034715529299,8.97
721049,-0.0874888446475737,5.1,13.8384693831775,9.35
721080,0.0662674783491397,5.1,8.45173114591908,10.51
721110,0.0754731413570888,5.1,11.7796355919426,11.31
721141,0.666169253743303,5.4,10.1040601567821,11.93
721171,1.21334380617704,5.5,8.83450806073487,12.92
721202,0.807879986307574,5.5,12.4767187595523,12.01
721233,0.897554439342073,5.9,12.3930007010433,11.34
721263,1.05887606455403,6,8.59070046276678,10.06
721294,1.00090137377525,6.6,8.96993958423415,9.45
721324,1.16103247815713,7.2,9.42763331191259,8.53
721355,0.401418180421709,8.1,7.44573226425924,7.13
721386,0.404643129929793,8.1,6.49352233864384,6.24
721414,0.586769244232149,8.6,4.05143693512837,5.54
721445,0.224017699556536,8.8,4.08068690984802,5.49
721475,0.339801202283648,9,4.75044754549767,5.22
721506,0.236157755540627,8.8,7.49390364341469,5.55
721536,0.356871252080583,8.6,10.2703805577148,6.1
721567,0.109874704255005,8.4,5.16527192496667,6.14
721598,0.281356253564282,8.4,5.93563980161473,6.24
721628,0.0966634874992882,8.4,6.94328485379128,5.82
721659,0.164060857630604,8.3,7.68624136830667,5.22
721689,-0.0451824554009328,8.2,6.61362392939644,5.2
721720,-0.153881715652326,7.9,4.5793779381043,4.87
721751,-0.061880685989222,7.7,1.50899810868239,4.77
721780,-0.108237446939788,7.6,1.79201771016828,4.84
721811,-0.0507485943158588,7.7,2.72362453682824,4.82
721841,-0.112338009626048,7.4,5.75210391140626,5.29
721872,-0.0451266111128953,7.6,5.20170844242855,5.48
721902,-0.0858794234114121,7.8,6.06031489247663,5.31
721933,-0.146906347310346,7.8,6.58739074172576,5.29
721964,-0.195475114344592,7.6,6.74939744563492,5.25
721994,-0.116380776495644,7.7,6.27849866754282,5.02
722025,-0.369637031867345,7.8,5.42276120933405,4.95
722055,-0.0276002506122877,7.8,6.68568968946097,4.65
722086,-0.308590168051164,7.5,6.95879491203222,4.61
722117,-0.198822836311299,7.6,9.34427786165415,4.68
722145,-0.16758439228098,7.4,6.02351196809288,4.69
722176,-0.251319643200049,7.2,6.94503798830297,4.73
722206,-0.258725659960175,7,6.07250331220612,5.35
722237,-0.273013167110003,7.2,6.68209928202774,5.39
722267,-0.185558536294473,6.9,6.2331950649396,5.42
722298,-0.175826494549808,7,5.56741513361239,5.9
722329,-0.145722985768262,6.8,4.50226106036364,6.14
722359,-0.133282925535313,6.8,5.55796707778402,6.47
722390,-0.139671312010153,6.8,6.8930752131978,6.51
722420,-0.325358492658707,6.4,5.79339286414733,6.56
722451,-0.328278482191666,6.4,7.07536317142345,6.7
722482,-0.342253935978987,6.3,5.55077856992945,6.78
722510,-0.341149186233304,6.3,7.75697594386724,6.79
722541,-0.287958930892092,6.1,9.06421781202784,6.89
722571,-0.247420310685797,6,8.53564548431809,7.36
722602,-0.454194524834768,5.9,7.80657125232249,7.6
722632,-0.366601298039968,6.2,6.56612368166236,7.81
722663,-0.379019882828044,5.9,6.04271335534534,8.04
722694,-0.32291983245497,6,6.80951450897247,8.45
722724,-0.49153765947123,5.8,9.48948885596739,8.96
722755,-0.257847738106467,5.9,6.82043963893051,9.76
722785,-0.388224501198242,6,5.59187236800209,10.03
722816,-0.260530561811322,5.9,9.01469968483184,10.07
722847,-0.325984552026617,5.9,6.39786009155792,10.06
722875,-0.190420271500075,5.8,9.33336179937765,10.09
722906,-0.239859389548191,5.8,12.4315655226455,10.01
722936,-0.269204116069903,5.6,12.3693831948723,10.24
722967,-0.189382917013651,5.7,9.84984332573529,10.29
722997,-0.26375970656937,5.7,9.1272361002849,10.47
723028,-0.340835496379771,6,9.15399723336723,10.94
723059,-0.154634361803393,5.9,10.5394714694956,11.43
723089,-0.698723593819443,6,9.72684784713014,13.77
723120,-0.143627374917144,5.9,8.31058543045486,13.18
723150,0.108349030948909,6,10.0455320001393,13.78
723181,-0.0803771906070986,6.3,12.500912908272,13.82
723212,-0.416024375050744,6.3,12.9464863115402,14.13
723241,0.25491908871084,6.3,14.6312133640073,17.19
723272,-0.481426612110065,6.9,6.25451268233892,17.61
723302,-0.0632019133346817,7.5,9.29159082069262,10.98
723333,-0.23787554330333,7.6,7.5517224628685,9.47
723363,-0.0224273268417278,7.8,9.27884796253675,9.03
723394,-0.074119217954304,7.7,9.95736229245345,9.61
